Spieler,Spiele,Punkte,Zweier,Dreier,FT_Getroffen,FT_Versuche,Fouls,Effizienz
Raphael Starklauf,6,118,24,18,16,30,10,146
Giulio Hellmann,5,57,18,5,6,22,10,64
Chris Herzog,5,73,11,16,3,6,13,97
Patrick Dykes,6,41,3,11,2,2,7,55
Steffen Engert,6,30,13,0,4,14,15,33
Reza Noori,3,25,5,4,3,6,5,31
Michael Goodluck,5,7,3,0,1,5,6,6
James Collie,3,5,1,1,0,0,7,7    
Roman Zubkov,6,37,14,0,9,15,5,45
Michael Obermeit,2,1,0,0,1,2,1,0
Alexander Mikuta,5,11,5,0,1,2,10,15
Marvin Starklauf,1,0,0,0,0,2,2,-2
Arsenii Dubkovyk,3,3,0,1,0,0,1,4
Charles Davis,2,0,0,0,0,0,1,0
